300 2
1.36075 -0.422468 -1
1.1324 1.19376 -1
1.64659 -1.20979 1
-0.659109 1.07292 -1
-0.888901 0.21588 -1
-0.0904118 0.515484 1
-0.540862 0.0536036 1
1.80892 1.66478 1
0.542847 0.869188 -1
-1.43359 0.427876 -1
-1.9348 -1.02845 1
-1.45107 1.21671 -1
-1.37328 -0.396222 -1
-1.48084 -1.56476 1
1.9957 -1.12697 1
0.0517297 1.35645 -1
0.450559 -0.815874 -1
0.550209 0.0971487 1
-0.025668 1.8911 1
-0.829933 1.08543 -1
0.10698 1.07966 -1
-0.399086 1.56612 1
-0.866741 -0.590167 -1
1.2309 1.67611 1
-1.72098 1.79731 1
0.103981 -1.65578 1
-1.23114 0.652908 -1
1.56093 -0.604428 1
-1.74331 -1.91991 1
-0.169193 -1.74762 1
-1.04688 1.88254 1
1.60883 1.40368 1
-0.933337 0.159041 -1
-0.499172 1.04099 -1
0.0501416 0.670895 1
0.126426 -1.84288 1
-0.24945 1.72734 1
1.72324 0.883809 1
-0.862826 0.954137 -1
0.559915 -0.583805 1
0.751446 -1.3361 -1
-0.239582 1.5203 1
1.3168 -0.678651 -1
-1.08413 1.57349 1
-0.598559 0.74668 1
1.82587 0.354561 1
0.629216 1.43471 -1
-0.24176 1.69588 1
-0.406253 1.25907 -1
0.736874 1.64389 1
-0.0700374 -1.1367 -1
1.80101 1.68051 1
-1.40936 1.52425 1
0.564322 -0.272186 1
0.478386 -0.875762 -1
1.14401 -0.770169 -1
-0.211866 -1.09557 -1
-1.24987 -0.895061 -1
0.225775 -0.333995 1
-1.32157 1.62722 1
-1.58732 -1.4957 1
-0.0182238 1.0419 -1
1.93901 1.74002 1
0.73778 -0.467247 1
0.999084 -0.525346 -1
-0.823359 -1.07095 -1
0.337954 -1.02235 -1
-1.39044 0.928594 -1
-1.4981 1.17388 -1
-1.34359 0.980286 -1
-1.70188 1.80042 1
-1.78988 0.0862534 1
-1.29516 -1.03975 -1
1.19119 0.930618 -1
0.626255 1.86962 1
0.557833 1.03894 -1
-1.62608 -1.46039 1
0.0808403 -1.68707 1
-1.72037 -1.18138 1
-0.154318 1.27871 -1
0.293274 1.02232 -1
-1.79224 -1.36877 1
1.99997 -1.18269 1
1.55982 -1.49813 1
1.9912 -1.78377 1
1.48216 -1.71068 1
-1.98335 1.69228 1
0.375569 -1.27851 -1
-1.34747 -0.433239 -1
1.65211 1.27878 1
-0.563619 0.20994 1
0.31772 -0.189697 1
0.74955 -1.60144 1
0.123232 1.02918 -1
-0.782819 1.96891 1
0.307884 1.51046 1
0.991237 0.51564 -1
-1.85832 0.991211 1
1.33295 1.70151 1
1.49309 1.32415 -1
1.91774 0.975245 1
1.61347 1.93438 1
0.667521 -0.0109659 1
-1.34413 1.32005 -1
1.55579 -1.69202 1
0.598828 -1.00782 -1
0.517919 -1.08345 -1
0.80248 -0.732531 -1
-0.684892 -1.07429 -1
-1.70336 0.532289 1
-1.10537 0.604528 -1
0.0427439 1.88586 1
-0.879832 0.184427 -1
0.877074 -1.54688 1
-0.114066 0.37016 1
1.77727 -0.19633 1
-0.654595 1.39074 -1
-0.261947 -1.98707 1
-0.620228 0.393925 1
1.33297 -1.06443 -1
0.701904 -0.0681989 1
-0.0722567 -0.780177 -1
0.848349 -1.26978 -1
0.487291 -1.83654 1
-0.344065 0.783935 -1
0.695746 0.550561 1
-0.611537 -1.26151 -1
0.436424 0.508631 1
0.922917 -0.686502 -1
0.961754 -1.19115 -1
1.68366 0.739026 1
0.612521 -0.970938 -1
0.129764 -1.64943 1
-0.958012 1.50954 1
0.7445 -1.62504 1
-1.5549 -0.553596 1
0.306762 0.372846 1
0.666226 -0.844889 -1
1.10307 -0.846482 -1
-0.681432 -1.241 -1
1.93745 -1.98569 1
1.30956 -0.674084 -1
-1.2472 -0.254012 -1
1.83455 1.67572 1
1.05949 0.796302 -1
-1.51543 0.743143 1
-0.464672 1.09709 -1
1.77221 1.66509 1
1.44767 -1.18581 -1
1.17463 0.192168 -1
-0.810846 1.61973 1
1.63857 1.49592 1
-0.00742435 0.304798 1
-1.34897 -0.904355 -1
1.45832 -0.0304047 -1
-0.145351 1.39577 -1
-0.0160904 -0.835787 -1
-1.27832 0.736714 -1
0.910201 -1.44377 -1
0.412435 -0.0303131 1
1.35253 0.897008 -1
-1.28717 -1.11214 -1
-0.00589812 -1.51496 1
-1.44705 -0.55823 -1
-0.700772 1.72758 1
1.63394 0.488382 1
1.34731 1.27251 -1
-0.0157024 -0.660113 1
-0.422691 0.635325 1
0.435531 -0.964375 -1
-1.39508 -1.70982 1
-1.56861 0.58883 1
-0.545607 -0.846922 -1
-0.674457 -1.63541 1
-0.290689 1.73798 1
0.334281 -0.938155 -1
0.634987 1.04711 -1
-0.0502925 -1.37091 -1
1.53215 0.502661 1
0.070859 -1.16863 -1
0.230242 -0.295202 1
1.31976 -0.422446 -1
-1.02269 -0.695946 -1
0.91744 0.554617 -1
1.93938 -0.647028 1
1.59024 -1.4557 1
-0.356848 -1.97837 1
1.13313 1.09754 -1
-0.825288 -1.54133 1
1.46214 0.884023 -1
-1.80335 -0.20358 1
1.94587 0.831636 1
