Inicio del entrenamiento 
Epocas 1000
Success 0.95
Input 700
Structure 3
4 4 1 
Error 4.59163e-41 0.1
Error 0.905639 0.1
Error 0.881486 0.1
Error 0.877744 0.1
Error 0.876403 0.1
Error 0.87557 0.1
Error 0.87495 0.1
Error 0.874459 0.1
Error 0.874051 0.1
Error 0.873701 0.1
Error 0.873392 0.1
Error 0.873109 0.1
Error 0.872845 0.1
Error 0.872592 0.1
Error 0.872346 0.1
Error 0.872099 0.1
Error 0.871847 0.1
Error 0.87159 0.1
Error 0.871323 0.1
Error 0.87104 0.1
Error 0.870742 0.1
Error 0.870423 0.1
Error 0.870079 0.1
Error 0.869708 0.1
Error 0.869306 0.1
Error 0.868867 0.1
Error 0.868388 0.1
Error 0.867864 0.1
Error 0.867287 0.1
Error 0.866652 0.1
Error 0.86595 0.1
Error 0.865174 0.1
Error 0.864314 0.1
Error 0.863359 0.1
Error 0.862295 0.1
Error 0.861111 0.1
Error 0.859788 0.1
Error 0.858312 0.1
Error 0.856664 0.1
Error 0.854826 0.1
Error 0.852781 0.1
Error 0.850515 0.1
Error 0.848019 0.1
Error 0.845294 0.1
Error 0.84235 0.1
Error 0.839213 0.1
Error 0.835924 0.1
Error 0.832538 0.1
Error 0.82912 0.1
Error 0.825735 0.1
Error 0.822449 0.1
Error 0.819311 0.1
Error 0.816365 0.1
Error 0.813633 0.1
Error 0.811127 0.1
Error 0.808844 0.1
Error 0.806774 0.1
Error 0.804903 0.1
Error 0.80321 0.1
Error 0.801673 0.1
Error 0.800274 0.1
Error 0.79899 0.1
Error 0.797803 0.1
Error 0.796696 0.1
Error 0.79565 0.1
Error 0.794649 0.1
Error 0.793675 0.1
Error 0.792712 0.1
Error 0.791735 0.1
Error 0.790725 0.1
Error 0.789644 0.1
Error 0.788457 0.1
Error 0.787109 0.1
Error 0.78553 0.1
Error 0.783631 0.1
Error 0.7813 0.1
Error 0.778404 0.1
Error 0.774799 0.1
Error 0.770361 0.1
Error 0.765019 0.1
Error 0.758793 0.1
Error 0.751811 0.1
Error 0.744284 0.1
Error 0.736451 0.1
Error 0.728537 0.1
Error 0.720712 0.1
Error 0.713098 0.1
Error 0.705773 0.1
Error 0.698773 0.1
Error 0.692117 0.1
Error 0.685803 0.1
Error 0.679824 0.1
Error 0.674163 0.1
Error 0.668805 0.1
Error 0.663732 0.1
Error 0.658927 0.1
Error 0.654373 0.1
Error 0.650054 0.1
Error 0.645957 0.1
Error 0.642066 0.1
Error 0.638368 0.1
Error 0.634851 0.1
Error 0.631502 0.1
Error 0.628311 0.1
Error 0.625267 0.1
Error 0.62236 0.1
Error 0.619581 0.1
Error 0.61692 0.1
Error 0.614371 0.1
Error 0.611926 0.1
Error 0.609576 0.1
Error 0.607316 0.1
Error 0.605141 0.1
Error 0.603043 0.1
Error 0.601019 0.1
Error 0.599063 0.1
Error 0.59717 0.1
Error 0.595338 0.1
Error 0.593562 0.1
Error 0.59184 0.1
Error 0.590168 0.1
Error 0.588544 0.1
Error 0.586964 0.1
Error 0.585429 0.1
Error 0.583935 0.1
Error 0.58248 0.1
Error 0.581065 0.1
Error 0.579688 0.1
Error 0.578348 0.1
Error 0.577043 0.1
Error 0.575774 0.1
Error 0.574542 0.1
Error 0.573343 0.1
Error 0.57218 0.1
Error 0.571051 0.1
Error 0.569957 0.1
Error 0.568897 0.1
Error 0.567872 0.1
Error 0.56688 0.1
Error 0.56592 0.1
Error 0.564992 0.1
Error 0.564094 0.1
Error 0.563224 0.1
Error 0.562379 0.1
Error 0.561558 0.1
Error 0.560756 0.1
Error 0.55997 0.1
Error 0.559197 0.1
Error 0.558432 0.1
Error 0.557671 0.1
Error 0.556911 0.1
Error 0.556148 0.1
Error 0.555378 0.1
Error 0.554599 0.1
Error 0.553809 0.1
Error 0.553004 0.1
Error 0.552186 0.1
Error 0.551353 0.1
Error 0.550504 0.1
Error 0.549642 0.1
Error 0.548766 0.1
Error 0.547877 0.1
Error 0.546976 0.1
Error 0.546066 0.1
Error 0.545146 0.1
Error 0.54422 0.1
Error 0.543287 0.1
Error 0.54235 0.1
Error 0.541409 0.1
Error 0.540466 0.1
Error 0.539521 0.1
Error 0.538576 0.1
Error 0.53763 0.1
Error 0.536687 0.1
Error 0.535743 0.1
Error 0.534802 0.1
Error 0.533863 0.1
Error 0.532927 0.1
Error 0.531994 0.1
Error 0.531063 0.1
Error 0.530137 0.1
Error 0.529214 0.1
Error 0.528294 0.1
Error 0.52738 0.1
Error 0.526467 0.1
Error 0.525559 0.1
Error 0.524655 0.1
Error 0.523755 0.1
Error 0.52286 0.1
Error 0.521968 0.1
Error 0.521081 0.1
Error 0.520198 0.1
Error 0.51932 0.1
Error 0.518446 0.1
Error 0.517576 0.1
Error 0.516711 0.1
Error 0.515851 0.1
Error 0.514996 0.1
Error 0.514145 0.1
Error 0.5133 0.1
Error 0.512459 0.1
Error 0.511624 0.1
Error 0.510793 0.1
Error 0.509966 0.1
Error 0.509146 0.1
Error 0.508329 0.1
Error 0.507518 0.1
Error 0.50671 0.1
Error 0.505906 0.1
Error 0.505107 0.1
Error 0.50431 0.1
Error 0.503516 0.1
Error 0.502723 0.1
Error 0.501931 0.1
Error 0.501139 0.1
Error 0.500345 0.1
Error 0.499547 0.1
Error 0.498744 0.1
Error 0.497935 0.1
Error 0.497116 0.1
Error 0.496286 0.1
Error 0.495442 0.1
Error 0.494581 0.1
Error 0.4937 0.1
Error 0.492798 0.1
Error 0.49187 0.1
Error 0.490914 0.1
Error 0.489927 0.1
Error 0.488906 0.1
Error 0.487849 0.1
Error 0.486751 0.1
Error 0.485609 0.1
Error 0.48442 0.1
Error 0.483173 0.1
Error 0.481864 0.1
Error 0.48048 0.1
Error 0.479006 0.1
Error 0.477423 0.1
Error 0.475707 0.1
Error 0.473829 0.1
Error 0.471759 0.1
Error 0.469466 0.1
Error 0.466923 0.1
Error 0.464108 0.1
Error 0.461006 0.1
Error 0.457611 0.1
Error 0.453924 0.1
Error 0.449956 0.1
Error 0.445722 0.1
Error 0.441244 0.1
Error 0.436546 0.1
Error 0.431652 0.1
Error 0.426589 0.1
Error 0.42138 0.1
Error 0.416046 0.1
Error 0.410609 0.1
Error 0.405087 0.1
Error 0.399499 0.1
Error 0.393865 0.1
Error 0.388205 0.1
Error 0.382541 0.1
Error 0.376895 0.1
Error 0.371292 0.1
Error 0.365756 0.1
Error 0.36031 0.1
Error 0.354975 0.1
Error 0.349765 0.1
Error 0.344692 0.1
Error 0.339762 0.1
Error 0.33498 0.1
Error 0.330344 0.1
Error 0.325854 0.1
Error 0.321506 0.1
Error 0.317298 0.1
Error 0.313224 0.1
Error 0.309281 0.1
Error 0.305463 0.1
Error 0.301767 0.1
Error 0.298186 0.1
Error 0.294717 0.1
Error 0.291356 0.1
Error 0.288097 0.1
Error 0.284937 0.1
Error 0.281872 0.1
Error 0.278897 0.1
Error 0.276009 0.1
Error 0.273204 0.1
Error 0.270479 0.1
Error 0.26783 0.1
Error 0.265255 0.1
Error 0.26275 0.1
Error 0.260313 0.1
Error 0.25794 0.1
Error 0.255629 0.1
Error 0.253378 0.1
Error 0.251184 0.1
Error 0.249046 0.1
Error 0.24696 0.1
Error 0.244926 0.1
Error 0.24294 0.1
Error 0.241002 0.1
Error 0.23911 0.1
Error 0.237262 0.1
Error 0.235456 0.1
Error 0.23369 0.1
Error 0.231965 0.1
Error 0.230278 0.1
Error 0.228627 0.1
Error 0.227012 0.1
Error 0.225432 0.1
Error 0.223886 0.1
Error 0.222371 0.1
Error 0.220888 0.1
Error 0.219436 0.1
Error 0.218013 0.1
Error 0.216618 0.1
Error 0.215251 0.1
Error 0.213912 0.1
Error 0.212598 0.1
Error 0.21131 0.1
Error 0.210046 0.1
Error 0.208807 0.1
Error 0.207591 0.1
Error 0.206397 0.1
Error 0.205226 0.1
Error 0.204076 0.1
Error 0.202948 0.1
Error 0.201839 0.1
Error 0.200751 0.1
Error 0.199682 0.1
Error 0.198632 0.1
Error 0.1976 0.1
Error 0.196587 0.1
Error 0.195591 0.1
Error 0.194612 0.1
